LogV,Logu
2.275167785,-0.631097561
2.315436242,-0.676829268
2.288590604,-0.722560976
1.684563758,-0.795731707
1.724832215,-0.795731707
1.872483221,-0.603658537
1.590604027,-0.695121951
1.510067114,-0.713414634
1.295302013,-0.768292683
1.684563758,-0.896341463
1.939597315,-0.823170732
1.805369128,-1.097560976
1.536912752,-1.280487805
1.604026846,-1.234756098
1.872483221,-1.445121951
2.32885906,-1.344512195
